SEMANA,ANO,Casos,DATE
40,2010,356,2010-10-04
41,2010,336,2010-10-11
42,2010,285,2010-10-18
43,2010,259,2010-10-25
44,2010,287,2010-11-01
45,2010,271,2010-11-08
46,2010,224,2010-11-15
47,2010,215,2010-11-22
48,2010,233,2010-11-29
49,2010,178,2010-12-06
50,2010,156,2010-12-13
51,2010,161,2010-12-20
52,2010,141,2010-12-27
1,2011,363,2011-01-03
2,2011,394,2011-01-10
3,2011,372,2011-01-17
4,2011,304,2011-01-24
5,2011,318,2011-01-31
6,2011,278,2011-02-07
7,2011,279,2011-02-14
8,2011,260,2011-02-21
9,2011,258,2011-02-28
10,2011,241,2011-03-07
11,2011,203,2011-03-14
12,2011,207,2011-03-21
13,2011,250,2011-03-28
14,2011,207,2011-04-04
15,2011,239,2011-04-11
16,2011,211,2011-04-18
17,2011,243,2011-04-25
18,2011,235,2011-05-02
19,2011,237,2011-05-09
20,2011,261,2011-05-16
21,2011,239,2011-05-23
22,2011,234,2011-05-30
23,2011,251,2011-06-06
24,2011,231,2011-06-13
25,2011,222,2011-06-20
26,2011,226,2011-06-27
27,2011,249,2011-07-04
28,2011,219,2011-07-11
29,2011,218,2011-07-18
30,2011,190,2011-07-25
31,2011,228,2011-08-01
32,2011,243,2011-08-08
33,2011,220,2011-08-15
34,2011,214,2011-08-22
35,2011,205,2011-08-29
36,2011,206,2011-09-05
37,2011,200,2011-09-12
38,2011,238,2011-09-19
39,2011,216,2011-09-26
40,2011,214,2011-10-03
41,2011,220,2011-10-10
42,2011,226,2011-10-17
43,2011,208,2011-10-24
44,2011,225,2011-10-31
45,2011,249,2011-11-07
46,2011,236,2011-11-14
47,2011,237,2011-11-21
48,2011,263,2011-11-28
49,2011,264,2011-12-05
50,2011,268,2011-12-12
51,2011,278,2011-12-19
52,2011,283,2011-12-26
1,2012,469,2012-01-02
2,2012,492,2012-01-09
3,2012,521,2012-01-16
4,2012,543,2012-01-23
5,2012,528,2012-01-30
6,2012,580,2012-02-06
7,2012,579,2012-02-13
8,2012,635,2012-02-20
9,2012,591,2012-02-27
10,2012,594,2012-03-05
11,2012,506,2012-03-12
12,2012,542,2012-03-19
13,2012,406,2012-03-26
14,2012,415,2012-04-02
15,2012,519,2012-04-09
16,2012,519,2012-04-16
17,2012,474,2012-04-23
18,2012,516,2012-04-30
19,2012,517,2012-05-07
20,2012,481,2012-05-14
21,2012,499,2012-05-21
22,2012,606,2012-05-28
23,2012,587,2012-06-04
24,2012,561,2012-06-11
25,2012,530,2012-06-18
26,2012,509,2012-06-25
27,2012,562,2012-07-02
28,2012,533,2012-07-09
29,2012,480,2012-07-16
30,2012,473,2012-07-23
31,2012,449,2012-07-30
32,2012,421,2012-08-06
33,2012,415,2012-08-13
34,2012,439,2012-08-20
35,2012,470,2012-08-27
36,2012,441,2012-09-03
37,2012,421,2012-09-10
38,2012,457,2012-09-17
39,2012,436,2012-09-24
40,2012,446,2012-10-01
41,2012,499,2012-10-08
42,2012,541,2012-10-15
43,2012,476,2012-10-22
44,2012,488,2012-10-29
45,2012,526,2012-11-05
46,2012,554,2012-11-12
47,2012,610,2012-11-19
48,2012,570,2012-11-26
49,2012,562,2012-12-03
50,2012,643,2012-12-10
51,2012,574,2012-12-17
52,2012,488,2012-12-24
1,2013,837,2012-12-31
2,2013,921,2013-01-07
3,2013,883,2013-01-14
4,2013,936,2013-01-21
5,2013,992,2013-01-28
6,2013,969,2013-02-04
7,2013,919,2013-02-11
8,2013,1080,2013-02-18
9,2013,1000,2013-02-25
10,2013,1040,2013-03-04
11,2013,1037,2013-03-11
12,2013,1046,2013-03-18
13,2013,1024,2013-03-25
14,2013,1346,2013-04-01
15,2013,1525,2013-04-08
16,2013,1602,2013-04-15
17,2013,1484,2013-04-22
18,2013,1468,2013-04-29
19,2013,1404,2013-05-06
20,2013,1409,2013-05-13
21,2013,1544,2013-05-20
22,2013,1476,2013-05-27
23,2013,1406,2013-06-03
24,2013,1415,2013-06-10
25,2013,1380,2013-06-17
26,2013,1310,2013-06-24
27,2013,1501,2013-07-01
28,2013,1507,2013-07-08
29,2013,1530,2013-07-15
30,2013,1347,2013-07-22
31,2013,1232,2013-07-29
32,2013,1156,2013-08-05
33,2013,1056,2013-08-12
34,2013,1131,2013-08-19
35,2013,987,2013-08-26
36,2013,1021,2013-09-02
37,2013,1106,2013-09-09
38,2013,1128,2013-09-16
39,2013,1146,2013-09-23
40,2013,1188,2013-09-30
41,2013,1105,2013-10-07
42,2013,1232,2013-10-14
43,2013,1193,2013-10-21
44,2013,1162,2013-10-28
45,2013,1147,2013-11-04
46,2013,1255,2013-11-11
47,2013,1236,2013-11-18
48,2013,1116,2013-11-25
49,2013,1171,2013-12-02
50,2013,1176,2013-12-09
51,2013,1011,2013-12-16
52,2013,839,2013-12-23
1,2014,1455,2013-12-30
2,2014,1532,2014-01-06
3,2014,1428,2014-01-13
4,2014,1479,2014-01-20
5,2014,1220,2014-01-27
6,2014,1193,2014-02-03
7,2014,1107,2014-02-10
8,2014,1110,2014-02-17
9,2014,959,2014-02-24
10,2014,963,2014-03-03
11,2014,995,2014-03-10
12,2014,914,2014-03-17
13,2014,883,2014-03-24
14,2014,996,2014-03-31
15,2014,861,2014-04-07
16,2014,828,2014-04-14
17,2014,930,2014-04-21
18,2014,921,2014-04-28
19,2014,895,2014-05-05
20,2014,850,2014-05-12
21,2014,942,2014-05-19
22,2014,782,2014-05-26
23,2014,1007,2014-06-02
24,2014,1018,2014-06-09
25,2014,915,2014-06-16
26,2014,891,2014-06-23
27,2014,1066,2014-06-30
28,2014,1106,2014-07-07
29,2014,1040,2014-07-14
30,2014,1060,2014-07-21
31,2014,1030,2014-07-28
32,2014,930,2014-08-04
33,2014,957,2014-08-11
34,2014,913,2014-08-18
35,2014,818,2014-08-25
36,2014,948,2014-09-01
37,2014,1028,2014-09-08
38,2014,1032,2014-09-15
39,2014,930,2014-09-22
40,2014,976,2014-09-29
41,2014,951,2014-10-06
42,2014,1027,2014-10-13
43,2014,1039,2014-10-20
44,2014,871,2014-10-27
45,2014,787,2014-11-03
46,2014,788,2014-11-10
47,2014,756,2014-11-17
48,2014,676,2014-11-24
49,2014,743,2014-12-01
50,2014,817,2014-12-08
51,2014,738,2014-12-15
52,2014,718,2014-12-22
53,2014,792,2014-12-29
1,2015,1034,2014-12-29
2,2015,856,2015-01-05
3,2015,792,2015-01-12
4,2015,719,2015-01-19
5,2015,794,2015-01-26
6,2015,697,2015-02-02
7,2015,736,2015-02-09
8,2015,633,2015-02-16
9,2015,644,2015-02-23
10,2015,665,2015-03-02
11,2015,631,2015-03-09
12,2015,525,2015-03-16
13,2015,528,2015-03-23
14,2015,599,2015-03-30
15,2015,607,2015-04-06
16,2015,621,2015-04-13
17,2015,634,2015-04-20
18,2015,617,2015-04-27
19,2015,688,2015-05-04
20,2015,615,2015-05-11
21,2015,639,2015-05-18
22,2015,658,2015-05-25
23,2015,591,2015-06-01
24,2015,585,2015-06-08
25,2015,596,2015-06-15
26,2015,721,2015-06-22
27,2015,690,2015-06-29
28,2015,605,2015-07-06
29,2015,579,2015-07-13
30,2015,637,2015-07-20
31,2015,599,2015-07-27
32,2015,556,2015-08-03
33,2015,607,2015-08-10
34,2015,614,2015-08-17
35,2015,646,2015-08-24
36,2015,737,2015-08-31
37,2015,729,2015-09-07
38,2015,794,2015-09-14
39,2015,791,2015-09-21
40,2015,773,2015-09-28
41,2015,860,2015-10-05
42,2015,876,2015-10-12
43,2015,894,2015-10-19
44,2015,925,2015-10-26
45,2015,964,2015-11-02
46,2015,883,2015-11-09
47,2015,876,2015-11-16
48,2015,1019,2015-11-23
49,2015,1074,2015-11-30
50,2015,1025,2015-12-07
51,2015,1030,2015-12-14
52,2015,1118,2015-12-21
1,2016,1654,2016-01-04
2,2016,1820,2016-01-11
3,2016,1733,2016-01-18
4,2016,1591,2016-01-25
5,2016,1649,2016-02-01
6,2016,1669,2016-02-08
7,2016,1479,2016-02-15
8,2016,1389,2016-02-22
9,2016,1552,2016-02-29
10,2016,1330,2016-03-07
11,2016,1141,2016-03-14
12,2016,1230,2016-03-21
13,2016,1641,2016-03-28
14,2016,1271,2016-04-04
15,2016,1458,2016-04-11
16,2016,1251,2016-04-18
17,2016,1293,2016-04-25
18,2016,1246,2016-05-02
19,2016,1316,2016-05-09
20,2016,1347,2016-05-16
21,2016,1211,2016-05-23
22,2016,1103,2016-05-30
23,2016,1098,2016-06-06
24,2016,1033,2016-06-13
25,2016,951,2016-06-20
26,2016,895,2016-06-27
27,2016,989,2016-07-04
28,2016,898,2016-07-11
29,2016,754,2016-07-18
30,2016,770,2016-07-25
31,2016,715,2016-08-01
32,2016,669,2016-08-08
33,2016,737,2016-08-15
34,2016,644,2016-08-22
35,2016,601,2016-08-29
36,2016,553,2016-09-05
37,2016,526,2016-09-12
38,2016,441,2016-09-19
39,2016,466,2016-09-26
40,2016,372,2016-10-03
41,2016,368,2016-10-10
42,2016,399,2016-10-17
43,2016,340,2016-10-24
44,2016,345,2016-10-31
45,2016,321,2016-11-07
46,2016,300,2016-11-14
47,2016,287,2016-11-21
48,2016,233,2016-11-28
49,2016,226,2016-12-05
50,2016,220,2016-12-12
51,2016,203,2016-12-19
52,2016,225,2016-12-26
1,2017,284,2017-01-02
2,2017,259,2017-01-09
3,2017,276,2017-01-16
4,2017,215,2017-01-23
5,2017,186,2017-01-30
6,2017,205,2017-02-06
7,2017,162,2017-02-13
8,2017,142,2017-02-20
9,2017,149,2017-02-27
10,2017,136,2017-03-06
11,2017,131,2017-03-13
12,2017,129,2017-03-20
13,2017,131,2017-03-27
14,2017,126,2017-04-03
15,2017,122,2017-04-10
16,2017,126,2017-04-17
17,2017,137,2017-04-24
18,2017,137,2017-05-01
19,2017,135,2017-05-08
20,2017,148,2017-05-15
21,2017,128,2017-05-22
22,2017,161,2017-05-29
23,2017,158,2017-06-05
24,2017,134,2017-06-12
25,2017,123,2017-06-19
26,2017,163,2017-06-26
27,2017,160,2017-07-03
28,2017,150,2017-07-10
